"SEX,discrete(2)","EDUCATION,discrete(7)","MARRIAGE,discrete(4)","AGE,continuous","PAY_0,discrete(11)","PAY_2,discrete(11)","PAY_3,discrete(11)","PAY_4,discrete(11)","PAY_5,discrete(11)","PAY_6,discrete(11)","BILL_AMT1,continuous","BILL_AMT2,continuous","PAY_AMT1,continuous","PAY_AMT2,continuous","PAY_AMT4,continuous","Default,class(0,1)"
2.0,2.0,1.0,24.0,4.0,4.0,1.0,1.0,0.0,0.0,169493.0,72879.0,0.0,689.0,0.0,1.0
2.0,2.0,2.0,26.0,1.0,4.0,2.0,2.0,2.0,4.0,168262.0,71502.0,0.0,1000.0,1000.0,1.0
2.0,2.0,2.0,34.0,2.0,2.0,2.0,2.0,2.0,2.0,194819.0,83804.0,1518.0,1500.0,1000.0,0.0
2.0,2.0,1.0,37.0,2.0,2.0,2.0,2.0,2.0,2.0,212570.0,118010.0,2000.0,2019.0,1100.0,0.0
1.0,2.0,1.0,57.0,1.0,2.0,1.0,2.0,2.0,2.0,174197.0,75447.0,2000.0,36681.0,9000.0,0.0
1.0,1.0,2.0,37.0,2.0,2.0,2.0,2.0,2.0,2.0,229980.0,126846.0,2500.0,1815.0,1000.0,0.0
1.0,1.0,2.0,29.0,2.0,2.0,2.0,2.0,2.0,2.0,533545.0,481800.0,55000.0,40000.0,20239.0,0.0
2.0,2.0,2.0,23.0,2.0,1.0,1.0,2.0,2.0,1.0,177456.0,70157.0,380.0,601.0,581.0,0.0
2.0,3.0,1.0,28.0,2.0,2.0,4.0,2.0,2.0,2.0,176865.0,83873.0,3329.0,0.0,1000.0,0.0
1.0,3.0,2.0,35.0,0.0,0.0,0.0,0.0,1.0,1.0,165580.0,69777.0,0.0,0.0,13007.0,0.0
2.0,3.0,2.0,34.0,2.0,2.0,4.0,2.0,2.0,1.0,176653.0,79564.0,2306.0,12.0,300.0,0.0
2.0,1.0,2.0,51.0,1.0,1.0,1.0,1.0,1.0,4.0,177841.0,91447.0,21818.0,9966.0,22301.0,0.0
2.0,2.0,2.0,41.0,1.0,2.0,1.0,1.0,1.0,1.0,177717.0,76277.0,1000.0,6500.0,6500.0,0.0
1.0,2.0,2.0,30.0,3.0,4.0,4.0,2.0,2.0,4.0,231382.0,137146.0,3200.0,0.0,3000.0,1.0
1.0,1.0,2.0,29.0,2.0,2.0,2.0,2.0,2.0,2.0,236467.0,136837.0,3000.0,3000.0,3000.0,0.0
2.0,3.0,3.0,23.0,3.0,4.0,2.0,2.0,2.0,2.0,216194.0,98950.0,0.0,1500.0,1200.0,0.0
1.0,1.0,2.0,24.0,2.0,2.0,4.0,4.0,4.0,4.0,180956.0,87787.0,3200.0,0.0,0.0,1.0
1.0,1.0,1.0,49.0,2.0,2.0,2.0,1.0,1.0,1.0,418866.0,316313.0,10358.0,10000.0,20000.0,0.0
2.0,1.0,1.0,49.0,3.0,0.0,0.0,0.0,0.0,0.0,165580.0,69777.0,0.0,0.0,0.0,0.0
2.0,1.0,2.0,29.0,3.0,0.0,0.0,0.0,0.0,0.0,165580.0,69777.0,0.0,0.0,0.0,0.0
