LIMIT_BAL,discrete(3)	SEX,discrete(3)	EDUCATION,discrete(3)	MARRIAGE,discrete(3)	AGE,discrete(3)	PAY_0,discrete(3)	PAY_2,discrete(3)	PAY_3,discrete(3)	PAY_4,discrete(3)	PAY_5,discrete(3)	PAY_6,discrete(3)	BILL_AMT1,discrete(3)	BILL_AMT2,discrete(3)	BILL_AMT3,discrete(3)	BILL_AMT4,discrete(3)	BILL_AMT5,discrete(3)	BILL_AMT6,discrete(3)	PAY_AMT1,discrete(3)	PAY_AMT2,discrete(3)	PAY_AMT3,discrete(3)	PAY_AMT4,discrete(3)	PAY_AMT5,discrete(3)	PAY_AMT6,discrete(3)	Default,discrete(3)
sample-0	0	1	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
sample-1	1	1	1	1	0	0	2	1	1	1	2	0	0	0	0	0	0	0	0	0	1	0	1	2
sample-2	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	2	0
sample-3	0	1	1	0	1	0	0	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	0
sample-4	0	0	1	0	2	0	0	0	1	1	1	1	0	1	1	1	1	1	2	2	2	0	1	0
sample-5	0	0	0	1	1	0	0	1	1	1	1	2	2	2	1	1	1	1	1	0	1	1	1	0
sample-6	2	0	0	1	0	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-7	1	1	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0
sample-8	1	1	2	0	0	0	0	2	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	0
sample-9	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	1	0	0
sample-10	1	1	2	1	1	0	0	2	1	1	0	1	1	0	0	0	0	1	0	0	0	2	0	0
sample-11	2	1	0	1	2	0	0	0	0	0	2	1	1	1	1	1	1	2	2	2	2	0	2	0
sample-12	2	1	1	1	2	0	0	0	0	0	0	1	0	0	0	1	0	0	2	2	2	1	0	0
sample-13	0	0	1	1	0	2	2	2	1	1	2	2	2	2	2	2	2	1	0	1	1	1	0	2
sample-14	2	0	0	1	0	0	0	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	0
sample-15	0	1	2	2	0	2	2	1	1	1	1	2	1	1	1	1	1	0	1	1	1	1	1	0
sample-16	0	0	0	1	0	0	0	2	2	2	2	1	1	1	1	1	1	1	0	1	0	1	0	2
sample-17	2	0	0	0	2	0	0	1	0	0	0	2	2	2	2	1	2	2	2	2	2	2	2	0
sample-18	2	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-19	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-20	1	1	2	1	1	0	0	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	2	0
sample-21	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
sample-22	0	1	1	1	0	2	0	1	2	2	2	1	1	2	2	2	2	1	1	0	2	0	1	2
sample-23	2	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	1	2
sample-24	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	2	0	2	1	1	1	0
sample-25	0	0	2	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
